钢厂品牌,存货名称,规格型号,长度,计量单位,重量（件）
中新,三级盘螺,HRB400E6,,吨,2.15
中新,三级盘螺,HRB400E8,,吨,2.15
中新,三级盘螺,HRB400E10,,吨,2.15
中新,三级螺纹钢,HRB400E12,9m,吨,1.998
中新,三级螺纹钢,HRB400E14,9m,吨,1.96
中新,三级螺纹钢,HRB400E16,9m,吨,1.991
中新,三级螺纹钢,HRB400E18,9m,吨,1.98
中新,三级螺纹钢,HRB400E20,9m,吨,2.001
中新,三级螺纹钢,HRB400E22,9m,吨,2.012
中新,三级螺纹钢,HRB400E25,9m,吨,2.079
中新,三级螺纹钢,HRB400E12,12m,吨,1.918
中新,三级螺纹钢,HRB400E14,12m,吨,1.888
中新,三级螺纹钢,HRB400E16,12m,吨,1.896
中新,三级螺纹钢,HRB400E18,12m,吨,1.92
中新,三级螺纹钢,HRB400E20,12m,吨,1.927
中新,三级螺纹钢,HRB400E22,12m,吨,1.967
中新,三级螺纹钢,HRB400E25,12m,吨,2.079
莱钢,三级螺纹钢,HRB400E12,9m,吨,3.037
莱钢,三级螺纹钢,HRB400E14,9m,吨,3.017
莱钢,三级螺纹钢,HRB400E16,9m,吨,3.1
莱钢,三级螺纹钢,HRB400E18,9m,吨,3.096
莱钢,三级螺纹钢,HRB400E20,9m,吨,3.201
莱钢,三级螺纹钢,HRB400E22,9m,吨,3.084
莱钢,三级螺纹钢,HRB400E25,9m,吨,2.911
莱钢,三级螺纹钢,HRB400E12,12m,吨,3.08
莱钢,三级螺纹钢,HRB400E14,12m,吨,3.282
莱钢,三级螺纹钢,HRB400E16,12m,吨,3.072
莱钢,三级螺纹钢,HRB400E18,12m,吨,3.072
莱钢,三级螺纹钢,HRB400E20,12m,吨,3.557
莱钢,三级螺纹钢,HRB400E22,12m,吨,3.075
莱钢,三级螺纹钢,HRB400E25,12m,吨,3.234
莱钢,三级盘螺,HRB400E6,,吨,2.35
莱钢,三级盘螺,HRB400E8,,吨,2.35
莱钢,三级盘螺,HRB400E10,,吨,2.35
石横,三级盘螺,HRB400E6,,吨,2.65
石横,三级盘螺,HRB400E8,,吨,2.65
石横,三级盘螺,HRB400E10,,吨,2.65
石横,三级螺纹钢,HRB400E12,9m,吨,2.933
石横,三级螺纹钢,HRB400E14,9m,吨,2.875
石横,三级螺纹钢,HRB400E16,9m,吨,3
石横,三级螺纹钢,HRB400E18,9m,吨,3.006
石横,三级螺纹钢,HRB400E20,9m,吨,3.001
石横,三级螺纹钢,HRB400E22,9m,吨,3.004
石横,三级螺纹钢,HRB400E25,9m,吨,3.015
石横,三级螺纹钢,HRB400E12,12m,吨,2.93
石横,三级螺纹钢,HRB400E14,12m,吨,2.875
石横,三级螺纹钢,HRB400E16,12m,吨,2.996
石横,三级螺纹钢,HRB400E18,12m,吨,3
石横,三级螺纹钢,HRB400E20,12m,吨,2.994
石横,三级螺纹钢,HRB400E22,12m,吨,3.004
石横,三级螺纹钢,HRB400E25,12m,吨,3.003
徐钢,三级盘螺,HRB400E6,,吨,2.45
徐钢,三级盘螺,HRB400E8,,吨,2.45
徐钢,三级盘螺,HRB400E10,,吨,2.45
徐钢,三级螺纹钢,HRB400E12,9m,吨,1.998
徐钢,三级螺纹钢,HRB400E14,9m,吨,1.96
徐钢,三级螺纹钢,HRB400E16,9m,吨,1.991
徐钢,三级螺纹钢,HRB400E18,9m,吨,1.98
徐钢,三级螺纹钢,HRB400E20,9m,吨,2.001
徐钢,三级螺纹钢,HRB400E22,9m,吨,2.146
徐钢,三级螺纹钢,HRB400E25,9m,吨,2.426
徐钢,三级螺纹钢,HRB400E12,12m,吨,2.131
徐钢,三级螺纹钢,HRB400E14,12m,吨,2.468
徐钢,三级螺纹钢,HRB400E16,12m,吨,2.465
徐钢,三级螺纹钢,HRB400E18,12m,吨,2.4
徐钢,三级螺纹钢,HRB400E20,12m,吨,2.371
徐钢,三级螺纹钢,HRB400E22,12m,吨,2.503
徐钢,三级螺纹钢,HRB400E25,12m,吨,2.772
永锋,三级盘螺,HRB400E6,,吨,2.5
永锋,三级盘螺,HRB400E8,,吨,2.5
永锋,三级盘螺,HRB400E10,,吨,2.5
永锋,三级螺纹钢,HRB400E12,9m,吨,3.197
永锋,三级螺纹钢,HRB400E14,9m,吨,3.049
永锋,三级螺纹钢,HRB400E16,9m,吨,3.342
永锋,三级螺纹钢,HRB400E18,9m,吨,3.204
永锋,三级螺纹钢,HRB400E20,9m,吨,3.201
永锋,三级螺纹钢,HRB400E22,9m,吨,3.353
永锋,三级螺纹钢,HRB400E25,9m,吨,3.292
永锋,三级螺纹钢,HRB400E12,12m,吨,3.09
永锋,三级螺纹钢,HRB400E14,12m,吨,3.049
永锋,三级螺纹钢,HRB400E16,12m,吨,3.072
永锋,三级螺纹钢,HRB400E18,12m,吨,3.36
永锋,三级螺纹钢,HRB400E20,12m,吨,3.201
永锋,三级螺纹钢,HRB400E22,12m,吨,3.29
永锋,三级螺纹钢,HRB400E25,12m,吨,3.234
河南闽源,三级盘螺,HRB400E6,,吨,2.45
河南闽源,三级盘螺,HRB400E8,,吨,2.45
河南闽源,三级盘螺,HRB400E10,,吨,2.45
河南闽源,三级螺纹钢,HRB400E12,9m,吨,1.998
河南闽源,三级螺纹钢,HRB400E14,9m,吨,1.96
河南闽源,三级螺纹钢,HRB400E16,9m,吨,1.991
河南闽源,三级螺纹钢,HRB400E18,9m,吨,1.98
河南闽源,三级螺纹钢,HRB400E20,9m,吨,2.001
河南闽源,三级螺纹钢,HRB400E22,9m,吨,2.011
河南闽源,三级螺纹钢,HRB400E25,9m,吨,2.079
河南闽源,三级螺纹钢,HRB400E12,12m,吨,2.664
河南闽源,三级螺纹钢,HRB400E14,12m,吨,2.614
河南闽源,三级螺纹钢,HRB400E16,12m,吨,2.654
河南闽源,三级螺纹钢,HRB400E18,12m,吨,2.64
河南闽源,三级螺纹钢,HRB400E20,12m,吨,2.668
河南闽源,三级螺纹钢,HRB400E22,12m,吨,2.682
河南闽源,三级螺纹钢,HRB400E25,12m,吨,2.772
